,Id,Bound
181,1181,
182,1182,
183,1183,
184,1184,1.0
185,1185,1.0
186,1186,
187,1187,1.0
188,1188,1.0
189,1189,1.0
190,1190,1.0
191,1191,
192,1192,
193,1193,1.0
194,1194,1.0
195,1195,
196,1196,
197,1197,1.0
198,1198,1.0
199,1199,1.0
200,1200,
201,1201,1.0
202,1202,
203,1203,
204,1204,1.0
205,1205,
206,1206,1.0
207,1207,1.0
208,1208,
209,1209,
210,1210,
211,1211,
212,1212,1.0
213,1213,1.0
214,1214,1.0
215,1215,
216,1216,1.0
217,1217,
218,1218,1.0
219,1219,1.0
220,1220,
221,1221,
222,1222,
223,1223,
224,1224,
225,1225,1.0
226,1226,1.0
227,1227,
228,1228,
229,1229,
230,1230,
231,1231,
232,1232,
233,1233,1.0
234,1234,
235,1235,1.0
236,1236,
237,1237,
238,1238,
239,1239,1.0
240,1240,
241,1241,1.0
242,1242,
243,1243,
244,1244,
245,1245,
246,1246,1.0
247,1247,1.0
248,1248,
249,1249,
250,1250,1.0
251,1251,
252,1252,
253,1253,
254,1254,
255,1255,1.0
256,1256,
257,1257,
258,1258,
259,1259,1.0
260,1260,
261,1261,
262,1262,
263,1263,1.0
264,1264,
265,1265,1.0
266,1266,
267,1267,
268,1268,1.0
269,1269,1.0
270,1270,
271,1271,1.0
272,1272,1.0
273,1273,1.0
274,1274,
275,1275,
276,1276,
277,1277,1.0
278,1278,
279,1279,1.0
280,1280,
281,1281,
282,1282,1.0
283,1283,1.0
284,1284,
285,1285,
286,1286,1.0
287,1287,
288,1288,
289,1289,
290,1290,
291,1291,1.0
292,1292,1.0
293,1293,1.0
294,1294,
295,1295,1.0
296,1296,1.0
297,1297,
298,1298,
299,1299,
300,1300,1.0
301,1301,1.0
302,1302,
303,1303,
304,1304,
305,1305,1.0
306,1306,
307,1307,
308,1308,
309,1309,1.0
310,1310,
311,1311,
312,1312,1.0
313,1313,
314,1314,
315,1315,1.0
316,1316,1.0
317,1317,
318,1318,1.0
319,1319,
320,1320,1.0
321,1321,1.0
322,1322,1.0
323,1323,1.0
324,1324,1.0
325,1325,1.0
326,1326,
327,1327,
328,1328,1.0
329,1329,
330,1330,1.0
331,1331,1.0
332,1332,1.0
333,1333,
334,1334,1.0
335,1335,
336,1336,
337,1337,1.0
338,1338,
339,1339,
340,1340,1.0
341,1341,
342,1342,1.0
343,1343,
344,1344,1.0
345,1345,
346,1346,1.0
347,1347,
348,1348,
349,1349,
350,1350,
351,1351,1.0
352,1352,1.0
353,1353,
354,1354,1.0
355,1355,1.0
356,1356,
357,1357,1.0
358,1358,1.0
359,1359,1.0
360,1360,1.0
361,1361,
362,1362,
363,1363,
364,1364,1.0
365,1365,1.0
366,1366,
367,1367,1.0
368,1368,
369,1369,1.0
370,1370,1.0
371,1371,
372,1372,
373,1373,1.0
374,1374,
375,1375,
376,1376,1.0
377,1377,
378,1378,
379,1379,
380,1380,1.0
381,1381,1.0
382,1382,1.0
383,1383,1.0
384,1384,
385,1385,
386,1386,
387,1387,
388,1388,
389,1389,
390,1390,
391,1391,
392,1392,
393,1393,1.0
394,1394,1.0
395,1395,1.0
396,1396,1.0
397,1397,
398,1398,
399,1399,
400,1400,
401,1401,1.0
402,1402,
403,1403,1.0
404,1404,
405,1405,
406,1406,
407,1407,1.0
408,1408,1.0
409,1409,1.0
410,1410,
411,1411,1.0
412,1412,
413,1413,1.0
414,1414,1.0
415,1415,1.0
416,1416,1.0
417,1417,
418,1418,1.0
419,1419,
420,1420,1.0
421,1421,1.0
422,1422,
423,1423,1.0
424,1424,
425,1425,
426,1426,1.0
427,1427,
428,1428,1.0
429,1429,
430,1430,
431,1431,1.0
432,1432,1.0
433,1433,1.0
434,1434,1.0
435,1435,1.0
436,1436,1.0
437,1437,
438,1438,1.0
439,1439,
440,1440,
441,1441,
442,1442,1.0
443,1443,1.0
444,1444,1.0
445,1445,
446,1446,1.0
447,1447,1.0
448,1448,1.0
449,1449,
450,1450,
451,1451,1.0
452,1452,
453,1453,1.0
454,1454,1.0
455,1455,
456,1456,1.0
457,1457,1.0
458,1458,1.0
459,1459,1.0
460,1460,
461,1461,
462,1462,
463,1463,1.0
464,1464,
465,1465,
466,1466,
467,1467,1.0
468,1468,1.0
469,1469,1.0
470,1470,1.0
471,1471,
472,1472,
473,1473,1.0
474,1474,1.0
475,1475,1.0
476,1476,1.0
477,1477,1.0
478,1478,
479,1479,1.0
480,1480,
481,1481,1.0
482,1482,
483,1483,1.0
484,1484,
485,1485,
486,1486,
487,1487,1.0
488,1488,1.0
489,1489,1.0
490,1490,
491,1491,
492,1492,
493,1493,
494,1494,
495,1495,1.0
496,1496,
497,1497,1.0
498,1498,1.0
499,1499,1.0
500,1500,
501,1501,1.0
502,1502,1.0
503,1503,1.0
504,1504,
505,1505,1.0
506,1506,1.0
507,1507,1.0
508,1508,
509,1509,1.0
510,1510,
511,1511,
512,1512,1.0
513,1513,
514,1514,1.0
515,1515,
516,1516,1.0
517,1517,1.0
518,1518,
519,1519,
520,1520,
521,1521,
522,1522,
523,1523,1.0
524,1524,
525,1525,
526,1526,1.0
527,1527,1.0
528,1528,1.0
529,1529,
530,1530,
531,1531,
532,1532,
533,1533,
534,1534,1.0
535,1535,1.0
536,1536,1.0
537,1537,
538,1538,1.0
539,1539,
540,1540,
541,1541,1.0
542,1542,
543,1543,
544,1544,
545,1545,1.0
546,1546,
547,1547,1.0
548,1548,1.0
549,1549,1.0
550,1550,
551,1551,1.0
552,1552,1.0
553,1553,1.0
554,1554,
555,1555,
556,1556,1.0
557,1557,1.0
558,1558,1.0
559,1559,1.0
560,1560,1.0
561,1561,
562,1562,1.0
563,1563,
564,1564,
565,1565,
566,1566,
567,1567,
568,1568,1.0
569,1569,1.0
570,1570,
571,1571,1.0
572,1572,1.0
573,1573,1.0
574,1574,1.0
575,1575,
576,1576,1.0
577,1577,1.0
578,1578,1.0
579,1579,
580,1580,1.0
581,1581,1.0
582,1582,
583,1583,
584,1584,1.0
585,1585,
586,1586,1.0
587,1587,
588,1588,1.0
589,1589,1.0
590,1590,1.0
591,1591,
592,1592,1.0
593,1593,1.0
594,1594,1.0
595,1595,1.0
596,1596,1.0
597,1597,1.0
598,1598,
599,1599,
600,1600,
601,1601,1.0
602,1602,
603,1603,
604,1604,
605,1605,
606,1606,1.0
607,1607,1.0
608,1608,1.0
609,1609,
610,1610,1.0
611,1611,1.0
612,1612,
613,1613,1.0
614,1614,
615,1615,1.0
616,1616,1.0
617,1617,
618,1618,
619,1619,1.0
620,1620,
621,1621,
622,1622,1.0
623,1623,
624,1624,
625,1625,
626,1626,1.0
627,1627,1.0
628,1628,
629,1629,
630,1630,1.0
631,1631,
632,1632,1.0
633,1633,1.0
634,1634,
635,1635,1.0
636,1636,
637,1637,
638,1638,
639,1639,1.0
640,1640,
641,1641,1.0
642,1642,
643,1643,
644,1644,1.0
645,1645,1.0
646,1646,
647,1647,1.0
648,1648,1.0
649,1649,1.0
650,1650,1.0
651,1651,
652,1652,1.0
653,1653,
654,1654,1.0
655,1655,1.0
656,1656,
657,1657,
658,1658,
659,1659,1.0
660,1660,
661,1661,
662,1662,1.0
663,1663,
664,1664,
665,1665,
666,1666,1.0
667,1667,1.0
668,1668,1.0
669,1669,
670,1670,1.0
671,1671,
672,1672,
673,1673,1.0
674,1674,1.0
675,1675,
676,1676,1.0
677,1677,
678,1678,
679,1679,
680,1680,1.0
681,1681,
682,1682,1.0
683,1683,1.0
684,1684,1.0
685,1685,1.0
686,1686,
687,1687,1.0
688,1688,
689,1689,1.0
690,1690,
691,1691,
692,1692,1.0
693,1693,
694,1694,1.0
695,1695,1.0
696,1696,1.0
697,1697,1.0
698,1698,1.0
699,1699,
700,1700,
701,1701,
702,1702,1.0
703,1703,1.0
704,1704,
705,1705,1.0
706,1706,1.0
707,1707,1.0
708,1708,1.0
709,1709,1.0
710,1710,
711,1711,1.0
712,1712,
713,1713,1.0
714,1714,1.0
715,1715,1.0
716,1716,
717,1717,
718,1718,1.0
719,1719,
720,1720,
721,1721,1.0
722,1722,
723,1723,1.0
724,1724,1.0
725,1725,1.0
726,1726,1.0
727,1727,1.0
728,1728,1.0
729,1729,1.0
730,1730,1.0
731,1731,1.0
732,1732,
733,1733,
734,1734,
735,1735,1.0
736,1736,
737,1737,1.0
738,1738,
739,1739,
740,1740,1.0
741,1741,1.0
742,1742,
743,1743,1.0
744,1744,1.0
745,1745,
746,1746,
747,1747,1.0
748,1748,
749,1749,
750,1750,1.0
751,1751,
752,1752,
753,1753,
754,1754,1.0
755,1755,
756,1756,1.0
757,1757,
758,1758,1.0
759,1759,1.0
760,1760,1.0
761,1761,1.0
762,1762,
763,1763,1.0
764,1764,
765,1765,
766,1766,
767,1767,1.0
768,1768,1.0
769,1769,1.0
770,1770,
771,1771,
772,1772,1.0
773,1773,
774,1774,1.0
775,1775,
776,1776,1.0
777,1777,
778,1778,
779,1779,
780,1780,1.0
781,1781,1.0
782,1782,1.0
783,1783,1.0
784,1784,1.0
785,1785,
786,1786,1.0
787,1787,
788,1788,1.0
789,1789,
790,1790,1.0
791,1791,1.0
792,1792,
793,1793,1.0
794,1794,1.0
795,1795,
796,1796,
797,1797,1.0
798,1798,1.0
799,1799,1.0
800,1800,1.0
801,1801,
802,1802,
803,1803,1.0
804,1804,1.0
805,1805,1.0
806,1806,1.0
807,1807,
808,1808,1.0
809,1809,1.0
810,1810,
811,1811,1.0
812,1812,
813,1813,1.0
814,1814,
815,1815,
816,1816,
817,1817,1.0
818,1818,1.0
819,1819,
820,1820,1.0
821,1821,
822,1822,1.0
823,1823,
824,1824,1.0
825,1825,
826,1826,1.0
827,1827,
828,1828,1.0
829,1829,
830,1830,
831,1831,
832,1832,
833,1833,1.0
834,1834,
835,1835,
836,1836,
837,1837,
838,1838,
839,1839,1.0
840,1840,
841,1841,1.0
842,1842,1.0
843,1843,
844,1844,
845,1845,1.0
846,1846,1.0
847,1847,1.0
848,1848,
849,1849,
850,1850,
851,1851,
852,1852,1.0
853,1853,1.0
854,1854,1.0
855,1855,
856,1856,
857,1857,1.0
858,1858,1.0
859,1859,
860,1860,1.0
861,1861,1.0
862,1862,1.0
863,1863,
864,1864,
865,1865,
866,1866,1.0
867,1867,
868,1868,
869,1869,
870,1870,1.0
871,1871,1.0
872,1872,1.0
873,1873,1.0
874,1874,
875,1875,
876,1876,1.0
877,1877,1.0
878,1878,
879,1879,1.0
880,1880,
881,1881,1.0
882,1882,
883,1883,
884,1884,
885,1885,1.0
886,1886,
887,1887,1.0
888,1888,1.0
889,1889,1.0
890,1890,
891,1891,
892,1892,
893,1893,1.0
894,1894,
895,1895,1.0
896,1896,1.0
897,1897,1.0
898,1898,1.0
899,1899,
900,1900,
901,1901,
902,1902,1.0
903,1903,1.0
904,1904,1.0
905,1905,
906,1906,
907,1907,
908,1908,1.0
909,1909,1.0
910,1910,
911,1911,
912,1912,1.0
913,1913,1.0
914,1914,1.0
915,1915,
916,1916,1.0
917,1917,1.0
918,1918,
919,1919,1.0
920,1920,
921,1921,
922,1922,1.0
923,1923,1.0
924,1924,
925,1925,
926,1926,1.0
927,1927,
928,1928,1.0
929,1929,
930,1930,
931,1931,1.0
932,1932,1.0
933,1933,
934,1934,1.0
935,1935,
936,1936,1.0
937,1937,1.0
938,1938,
939,1939,
940,1940,1.0
941,1941,
942,1942,
943,1943,
944,1944,1.0
945,1945,1.0
946,1946,
947,1947,1.0
948,1948,
949,1949,
950,1950,1.0
951,1951,1.0
952,1952,1.0
953,1953,1.0
954,1954,1.0
955,1955,1.0
956,1956,
957,1957,
958,1958,1.0
959,1959,
960,1960,
961,1961,1.0
962,1962,1.0
963,1963,1.0
964,1964,
965,1965,1.0
966,1966,
967,1967,
968,1968,
969,1969,
970,1970,
971,1971,
972,1972,1.0
973,1973,
974,1974,1.0
975,1975,
976,1976,
977,1977,
978,1978,
979,1979,1.0
980,1980,1.0
981,1981,1.0
982,1982,
983,1983,
984,1984,1.0
985,1985,1.0
986,1986,1.0
987,1987,
988,1988,1.0
989,1989,1.0
990,1990,1.0
991,1991,
992,1992,1.0
993,1993,1.0
994,1994,1.0
995,1995,1.0
996,1996,
997,1997,
998,1998,1.0
999,1999,1.0
