,Bound
813,1
814,1
815,0
816,1
817,1
818,0
819,0
820,0
821,0
822,1
823,0
824,0
825,1
826,1
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,0
835,0
836,0
837,0
838,1
839,0
840,1
841,0
842,1
843,1
844,0
845,1
846,0
847,1
848,1
849,0
850,0
851,1
852,0
853,1
854,0
855,0
856,1
857,1
858,0
859,1
860,0
861,0
862,0
863,1
864,0
865,1
866,0
867,0
868,1
869,0
870,0
871,1
872,1
873,1
874,0
875,0
876,1
877,1
878,1
879,0
880,1
881,0
882,0
883,0
884,1
885,1
886,1
887,0
888,0
889,0
890,0
891,0
892,1
893,0
894,1
895,0
896,1
897,1
898,1
899,0
900,0
901,1
902,0
903,0
904,0
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,0
915,1
916,1
917,1
918,1
919,0
920,0
921,1
922,0
923,1
924,1
925,1
926,0
927,0
928,0
929,1
930,0
931,1
932,0
933,0
934,0
935,1
936,1
937,1
938,0
939,1
940,0
941,0
942,1
943,1
944,1
945,1
946,1
947,0
948,1
949,1
950,1
951,1
952,0
953,1
954,1
955,0
956,1
957,0
958,1
959,1
960,1
961,0
962,0
963,1
964,1
965,1
966,0
967,0
968,0
969,1
970,1
971,0
972,1
973,1
974,1
975,1
976,1
977,0
978,0
979,1
980,1
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,0
989,1
990,0
991,1
992,0
993,0
994,1
995,1
996,1
997,0
998,0
999,0
